file_id,region,condition,fit_scope,heldout_sweep,train_sweeps,candidate_id,optimizer_status,optimizer_success,optimizer_cost,optimizer_nfev,heldout_trace_rmse_mV,heldout_weighted_pass_fraction,simulation_health,heldout_pass
DH_5_MFA,DH,MFA,leave_one_out,2,"1,3,4,5,6",DH_5_MFA__cand_01,3,True,34.12718278055627,22,1.3410668178638825,1.0,ok,True
DH_5_MFA,DH,MFA,leave_one_out,3,"1,2,4,5,6",DH_5_MFA__cand_01,3,True,32.15133983428733,32,3.704639987661916,1.0,ok,True
DH_5_MFA,DH,MFA,leave_one_out,4,"1,2,3,5,6",DH_5_MFA__cand_01,3,True,30.125391989906895,26,5.810459488318497,1.0,ok,False
DH_5_MFA,DH,MFA,leave_one_out,5,"1,2,3,4,6",DH_5_MFA__cand_01,3,True,24.69365497717562,17,9.320730070214355,1.0,ok,False
DH_5_MFA,DH,MFA,leave_one_out,6,"1,2,3,4,5",DH_5_MFA__cand_01,3,True,25.941971223098772,27,10.62138798116987,0.9997830566755399,ok,False
DH_5_MFA_BA,DH,MFA_BA,leave_one_out,1,"2,3,4,5,6",DH_5_MFA_BA__cand_09,3,True,12.595794839148816,13,4.13678447140818,1.0,ok,False
DH_5_MFA_BA,DH,MFA_BA,leave_one_out,2,"1,3,4,5,6",DH_5_MFA_BA__cand_09,3,True,15.480761353529466,17,2.483235304557096,1.0,ok,True
DH_5_MFA_BA,DH,MFA_BA,leave_one_out,3,"1,2,4,5,6",DH_5_MFA_BA__cand_09,3,True,16.506112199647596,17,1.0086264280626716,1.0,ok,True
DH_5_MFA_BA,DH,MFA_BA,leave_one_out,4,"1,2,3,5,6",DH_5_MFA_BA__cand_09,3,True,16.10231316031603,17,2.111411168877124,1.0,ok,True
DH_5_MFA_BA,DH,MFA_BA,leave_one_out,5,"1,2,3,4,6",DH_5_MFA_BA__cand_09,3,True,14.843457931522073,15,4.014207686327953,1.0,ok,False
DH_5_MFA_BA,DH,MFA_BA,leave_one_out,6,"1,2,3,4,5",DH_5_MFA_BA__cand_09,3,True,12.133458207344251,17,5.943179907859134,1.0,ok,False
DH_6_MFA,DH,MFA,leave_one_out,1,"2,3,4,5,6",DH_6_MFA__cand_01,3,True,9.521445415410753,24,2.9319430259433754,1.0,ok,True
DH_6_MFA,DH,MFA,leave_one_out,2,"1,3,4,5,6",DH_6_MFA__cand_01,3,True,22.15178561923259,12,1.4776996866864176,1.0,ok,True
DH_6_MFA,DH,MFA,leave_one_out,3,"1,2,4,5,6",DH_6_MFA__cand_01,3,True,21.81607787987968,17,0.6759487780653384,0.9790928696681099,ok,True
DH_6_MFA,DH,MFA,leave_one_out,4,"1,2,3,5,6",DH_6_MFA__cand_01,3,True,21.30528015198648,12,1.944564516930689,1.0,ok,True
DH_6_MFA,DH,MFA,leave_one_out,5,"1,2,3,4,6",DH_6_MFA__cand_01,3,True,17.896302456152135,12,4.238228705510044,1.0,ok,False
DH_6_MFA,DH,MFA,leave_one_out,6,"1,2,3,4,5",DH_6_MFA__cand_01,3,True,16.18497809087973,12,5.85406764096894,0.9915300644128033,ok,False
DH_6_MFA_BA,DH,MFA_BA,leave_one_out,1,"2,3,4,5,6",DH_6_MFA_BA__cand_16,3,True,31.221852624606655,14,4.0013500611353505,1.0,ok,False
DH_6_MFA_BA,DH,MFA_BA,leave_one_out,2,"1,3,4,5,6",DH_6_MFA_BA__cand_16,2,True,153265268589.616,5,2.2619606912310437,1.0,ok,True
DH_6_MFA_BA,DH,MFA_BA,leave_one_out,3,"1,2,4,5,6",DH_6_MFA_BA__cand_16,3,True,153265268582.95786,13,1.1806575402666895,1.0,ok,True
DH_6_MFA_BA,DH,MFA_BA,leave_one_out,4,"1,2,3,5,6",DH_6_MFA_BA__cand_16,3,True,153265268584.78903,14,1.457285635194878,1.0,ok,True
DH_6_MFA_BA,DH,MFA_BA,leave_one_out,5,"1,2,3,4,6",DH_6_MFA_BA__cand_16,3,True,153265268587.58124,13,3.0754185514145616,1.0,ok,True
DH_6_MFA_BA,DH,MFA_BA,leave_one_out,6,"1,2,3,4,5",DH_6_MFA_BA__cand_16,3,True,153265268586.50174,13,4.908372418349498,1.0,ok,False
VH_1_MFA,VH,MFA,leave_one_out,1,"2,3,4,5,6",VH_1_MFA__cand_16,3,True,23.895822373133477,21,3.8070734461506373,0.6801076307186357,ok,True
VH_1_MFA,VH,MFA,leave_one_out,2,"1,3,4,5,6",VH_1_MFA__cand_16,3,True,47.423197390900874,15,2.3967472368018234,0.8100423487590938,ok,True
VH_1_MFA,VH,MFA,leave_one_out,3,"1,2,4,5,6",VH_1_MFA__cand_16,3,True,49.43495232415803,17,1.3497657671754462,0.88900979068147,ok,True
VH_1_MFA,VH,MFA,leave_one_out,4,"1,2,3,5,6",VH_1_MFA__cand_16,3,True,49.674247838680444,18,1.0564496411558586,0.9019167739322229,ok,True
VH_1_MFA,VH,MFA,leave_one_out,5,"1,2,3,4,6",VH_1_MFA__cand_16,3,True,48.89314118632021,16,1.9563368975445994,0.91916068594112,ok,True
VH_1_MFA,VH,MFA,leave_one_out,6,"1,2,3,4,5",VH_1_MFA__cand_16,3,True,48.09957209855505,15,3.034505692001057,0.9416498571476681,ok,True
VH_1_MFA_BA,VH,MFA_BA,leave_one_out,1,"2,3,4,5,6",VH_1_MFA_BA__cand_01,3,True,15.440104623541538,12,1.2438224248085845,1.0,ok,True
VH_1_MFA_BA,VH,MFA_BA,leave_one_out,2,"1,3,4,5,6",VH_1_MFA_BA__cand_01,3,True,18.670615673804487,11,0.6571410619388245,0.9784721155549754,ok,True
VH_1_MFA_BA,VH,MFA_BA,leave_one_out,3,"1,2,4,5,6",VH_1_MFA_BA__cand_01,3,True,17.568579274151954,11,0.3653279375735541,0.9710419948715392,ok,True
VH_1_MFA_BA,VH,MFA_BA,leave_one_out,4,"1,2,3,5,6",VH_1_MFA_BA__cand_01,3,True,18.46190288666957,11,1.098114877064251,1.0,ok,True
