strategy,file_id,candidate_id,sweep,current_na,stim_onset_s,stim_offset_s,obs_baseline_mV,pred_baseline_mV,baseline_delta_pred_minus_obs_mV,raw_rmse_mV,centered_rmse_mV,baseline_aligned_rmse_mV,raw_minus_centered_rmse_mV,obs_stim_end_centered_mV,pred_stim_end_centered_mV,stim_end_delta_pred_minus_obs_mV,obs_peak_centered_mV,pred_peak_centered_mV,peak_delta_pred_minus_obs_mV
least_squares_12starts,VH_4_MFA_BA,VH_4_MFA_BA__cand_07,6,175,21.075,41.076,-38.21902608695652,-89.34572574524971,-51.12669965829319,53.139933963181804,3.705324780780561,3.705324780780561,49.434609182401246,11.692613043478111,3.314254743929169,-8.378358299548943,11.692613043478111,3.314254743929169,-8.378358299548943
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,1,50,11.166,31.116,-60.37370869565221,-85.76788153281686,-25.394172837164646,23.857505007257682,3.4539350033172718,3.4539350033172718,20.40357000394041,6.815408695652209,13.705020240008551,6.889611544356342,7.182869565217295,13.732337080187989,6.549467514970694
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,2,75,11.166,31.116,-60.50376521739136,-85.76788153281686,-25.264116315425497,24.169076001628888,1.9682160584150499,1.9682160584150499,22.20085994321384,9.991860869565144,13.705020240008551,3.7131593704434067,10.486791304347754,13.732337080187989,3.2455457758402346
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,3,100,11.166,31.116,-60.888517391304376,-85.76788153281686,-24.879364141512482,24.518231051312565,1.0429111549480847,1.0429111549480847,23.475319896364482,13.189517391304378,13.705020240008551,0.5155028487041733,13.871526086956507,13.732337080187989,-0.1391890067685182
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,4,125,11.166,31.116,-61.23946739130437,-85.76788153281686,-24.528414141512485,24.773359470251677,1.8336378236196313,1.8336378236196313,22.939721646632044,16.12385869565194,13.705020240008551,-2.418838455643389,16.845650000000113,13.732337080187989,-3.113312919812124
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,5,150,11.166,31.116,-61.975895652173946,-85.76788153281686,-23.791985880642912,25.085826432379086,3.189478057784361,3.189478057784361,21.896348374594726,19.56710434782638,13.705020240008551,-5.862084107817829,19.829769565217553,13.732337080187989,-6.0974324850295645
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,6,175,11.166,31.116,-62.1643,-85.76788153281686,-23.60358153281686,25.73871756875194,4.412064715702915,4.412064715702915,21.326652853049026,22.135826086956783,13.705020240008551,-8.430805846948232,22.48085652173917,13.732337080187989,-8.748519441551181
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,1,50,21.117,41.075,-57.556691304347794,-85.80110798091557,-28.24441667656778,27.075281718399133,3.4658211724174417,3.4658211724174417,23.60946054598169,6.986969565217386,13.547862006621855,6.560892441404469,7.269708695652184,13.623993251405821,6.354284555753637
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,2,75,21.117,41.075,-56.99077391304348,-85.80110798091557,-28.81033406787209,28.300528986505515,1.3475123536714115,1.3475123536714115,26.953016632834103,11.939382608695446,13.547862006621855,1.6084793979264091,11.939382608695446,13.623993251405821,1.6846106427103749
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,3,100,21.117,41.075,-56.501026086956514,-85.80110798091557,-29.30008189395906,29.65606528062386,0.8172730030306246,0.8172730030306246,28.838792277593235,14.386643478260602,13.547862006621855,-0.8387814716387467,14.910213043478308,13.623993251405821,-1.2862197920724867
