strategy,file_id,candidate_id,sweep,z0_mode,health,obs_baseline_mV,pred_baseline_mV,baseline_delta_mV,raw_rmse_mV,centered_rmse_mV,stim_end_delta_mV
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,2,default_z0,ok,-61.67326521739129,-85.79257304028486,-24.119307822893575,24.73524284660784,1.7896142042797583,-0.5731173380954147
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,2,observed_vm_z0,ok,-61.67326521739129,-85.79257313818059,-24.119307920789296,24.087526373471082,5.148329886237247,-0.5731173255948931
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,3,default_z0,ok,-61.480852173913036,-85.79257304028486,-24.31172086637183,25.988483262091425,2.530963760936553,-4.72283907722602
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,3,observed_vm_z0,ok,-61.480852173913036,-85.7925731361114,-24.311720962198365,25.363771963927075,5.4844632655227255,-4.722839076517722
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,4,default_z0,ok,-61.364086956521746,-85.79257304028486,-24.42848608376312,27.271887164969684,4.106988089263243,-8.83463038157391
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,4,observed_vm_z0,ok,-61.364086956521746,-85.79257313705654,-24.42848618053479,26.66127452372807,6.339909897270633,-8.834630381614353
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,5,default_z0,ok,-61.6619434782609,-85.79257304028486,-24.130629562023962,28.61428535896626,6.11446487115641,-13.028095598965066
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,5,observed_vm_z0,ok,-61.6619434782609,-85.79257313821833,-24.130629659957428,28.036307518827673,7.721290927643715,-13.02809559590581
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,6,default_z0,ok,-61.57556521739129,-85.79257304028486,-24.21700782289357,29.9189156892475,7.726488871481416,-16.537130381573903
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,6,observed_vm_z0,ok,-61.57556521739129,-85.7925731385491,-24.21700792115781,29.36583306983563,9.069443987700886,-16.537130392462075
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,1,default_z0,ok,-62.16952173913045,-85.77799775672433,-23.60847601759388,23.0173274128762,2.7643824263461143,4.123172359860625
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,1,observed_vm_z0,ok,-62.16952173913045,-85.76475436072936,-23.595232621598903,22.326427378459435,5.553210572503307,4.1232771111847555
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,2,default_z0,ok,-61.67326521739129,-85.77799775672433,-24.104732539333042,24.71679899307649,1.3244283143146987,-0.6685928575305411
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,2,observed_vm_z0,ok,-61.67326521739129,-85.76451202243915,-24.09124680504786,24.02931582158423,4.999795483720374,-0.6684861931708639
