file_id,region,condition,candidate_id,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,gki,eps,gl_a,zth,zs,P_gap_eff_plausible,gamma_t_eff_plausible,gamma_s_eff_plausible,volume_ratio_wa_wo_plausible,gki_plausible,eps_plausible,gl_a_plausible,zth_plausible,zs_plausible
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_040,1.1136278486800116e-08,2.747905978637212e-08,7.977390235907591e-08,0.053478696056371,490.0892896926963,0.0003235766254967,17.024047164554204,102.9615201699151,0.0010364659027305,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_036,2.6152825306749292e-08,8.691770279742633e-08,4.075173392676908e-07,0.0549921651316796,415.4814224811742,0.0003320258070519,11.156918462586772,93.6125290758548,0.0017237960104603,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_030,1.4370983968516305e-08,6.069106242134223e-07,6.364638744502468e-07,0.4330366548500413,15.653969809800104,0.0003273346168265,0.0207507847068294,29.423013333174858,0.9043715631672548,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_031,1.0985549596309316e-08,1.0512580587824825e-07,9.729286764092337e-08,0.0579542017610238,452.53754102875087,0.0003755978051874,8.911133285568093,100.12509213006128,0.0012987587301994,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_028,1.1451920857180092e-08,2.4342894227923937e-07,1.231647847967001e-07,0.0509193063292615,452.081554617228,0.000504701426272,19.400830954674408,86.13803785592093,0.0012353449848363,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_025,7.279134706190046e-08,6.509250635931369e-06,1.1249959814475269e-08,1.2156675971444937,57.993600062520585,0.0017120292396228,0.9423379783381388,76.68280122309324,0.1171478198797335,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_091,4.836064346677421e-06,1.8744981197864925e-08,3.451168909566421e-07,0.1294854174399739,390.18619558239055,0.0003815582917782,0.9811161249862784,128.4870532168856,0.001797730075672,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_024,1.736752229000314e-08,1.500130269557272e-07,1.1516248568107351e-06,0.0641773551659712,360.26254549680647,0.0003927807904469,1.5627490475929606,112.04167901219832,0.001324134314378,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_076,0.000177188473548,1.3289448722869162e-08,0.0615699732823519,4.115716865497774,2.167640897475782,5.337032762603954e-05,0.0001430992369351,45.63633644393066,0.2922905212920093,True,True,False,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_074,9.790871167531241e-08,0.0033689133434523,2.140480935752318e-06,0.2514712671319205,225.74337102555788,0.0001192001719916,0.2363672829885408,123.7480079297651,0.0813856237000371,True,True,True,True,True,True,True,False,True
