file_id,candidate_id,region,condition,selection_note,accepted_all6,sweep,current_na,baseline_delta_pred_minus_obs_mV,raw_rmse_mV,centered_rmse_mV,obs_stim_end_centered_mV,pred_stim_end_centered_mV,stim_end_delta_pred_minus_obs_mV
DH_3_MFA_BA,DH_3_MFA_BA__cand_01,DH,MFA_BA,accepted_best,True,4,125,-37.26899683185428,37.7243815103873,0.9620042758689398,8.811178260869625,6.3143453971165115,-2.496832863753113
DH_3_MFA_BA,DH_3_MFA_BA__cand_01,DH,MFA_BA,accepted_best,True,5,150,-38.434696831854275,39.420349288339615,1.802403316274132,10.742465217391228,6.3143453971165115,-4.428119820274716
DH_3_MFA_BA,DH_3_MFA_BA__cand_01,DH,MFA_BA,accepted_best,True,6,175,-39.58481857098474,41.10468669874234,2.8096811594336533,12.915991304347948,6.3143453971165115,-6.601645907231436
DH_4_MFA,DH_4_MFA__cand_06,DH,MFA,best_nonaccepted,False,1,50,-15.998734017844853,15.619080619545832,2.4252641941928577,11.266821739130485,13.653551366457336,2.386729627326851
DH_4_MFA,DH_4_MFA__cand_06,DH,MFA,best_nonaccepted,False,2,75,-16.422555756975314,17.325975314237425,2.118034108032158,16.446413043478465,13.653551366457336,-2.792861677021129
DH_4_MFA,DH_4_MFA__cand_06,DH,MFA,best_nonaccepted,False,3,100,-15.967560104801379,18.734955606749853,4.09002137901608,21.80537826086926,13.653551366457336,-8.151826894411926
DH_4_MFA,DH_4_MFA__cand_06,DH,MFA,best_nonaccepted,False,4,125,-15.938620974366614,20.468581885761765,6.215709154305889,26.326765217391213,13.653551366457336,-12.673213850933877
DH_4_MFA,DH_4_MFA__cand_06,DH,MFA,best_nonaccepted,False,5,150,-16.095455756975298,22.123036853290557,8.067477271918648,30.03420869565216,13.653551366457336,-16.380657329194825
DH_4_MFA,DH_4_MFA__cand_06,DH,MFA,best_nonaccepted,False,6,175,-16.10209488741009,23.662346533263584,9.921820374672981,33.77871739130447,13.653551366457336,-20.125166024847132
DH_4_MFA_BA,DH_4_MFA_BA__cand_20,DH,MFA_BA,accepted_best,True,1,50,-19.190834250115927,18.374592038098314,2.6681555697416703,9.298147826086762,13.712073743110068,4.413925917023306
