scope,region,sweep,feature,experimental_contrast,cond_1,cond_2,mean_cond_1,mean_cond_2,ci_low_cond_1,ci_high_cond_1,ci_low_cond_2,ci_high_cond_2,estimate,pvalue,n_cond_1,n_cond_2,n_files,experimental_direction_raw,qvalue_bh,reject_bh_0p05,experimental_direction
region_VH,VH,4,decay_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,12.637449473132792,3.288197638723865,10.377095729691412,14.897803216574172,2.0396163087048027,4.536778968742928,-9.349251834408927,3.6009940545378574e-05,4,7,11,decrease,0.0005761590487260572,True,decrease
region_VH,VH,5,decay_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,15.516926871911565,4.352966564467495,11.311654720349186,19.722199023473944,2.5682117577258747,6.137721371209116,-11.16396030744407,0.0007888021172720332,4,7,11,decrease,0.0039033506834079993,True,decrease
region_VH,VH,6,decay_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,15.467092309977994,5.831865505318065,11.552500203911405,19.381684416044582,3.1116397210440603,8.55209128959207,-9.63522680465993,0.0005280080541682071,4,7,11,decrease,0.0029226400024073814,True,decrease
region_VH,VH,1,decay_tau_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.3236131347341278,0.9973755200274071,0.15643394675937392,0.4907923227088816,0.7693979589334955,1.2253530811213187,0.6737623852932794,0.0001657408512561576,4,7,11,increase,0.0013716484241888904,True,increase
region_VH,VH,2,decay_tau_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.36352359399384326,0.9000082207856559,0.26856269461271665,0.4584844933749699,0.6430689078339382,1.1569475337373736,0.5364846267918126,0.0017836742098064431,4,7,11,increase,0.006794949370691212,True,increase
region_VH,VH,3,decay_tau_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.3707432936786752,0.827964144536529,0.3003522177519016,0.44113436960544883,0.5941222524149969,1.061806036658061,0.4572208508578538,0.002675830263549172,4,7,11,increase,0.008857920872438639,True,increase
region_VH,VH,4,decay_tau_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.3971263790597188,0.8030490953893862,0.3236079568162059,0.4706448013032317,0.5459862731477342,1.0601119176310383,0.40592271632966737,0.007828563941198838,4,7,11,increase,0.018010774987870213,True,increase
region_VH,VH,5,decay_tau_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.38597609126772525,0.7842087419730868,0.2841172669233317,0.4878349156121188,0.4981076019839576,1.0703098819622159,0.3982326507053615,0.013795732827259157,4,7,11,increase,0.027823326710438637,True,increase
region_VH,VH,6,decay_tau_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.39667028578252683,0.730701134901948,0.3199004581217115,0.4734401134433422,0.4474508573765866,1.0139514124273095,0.33403084911942116,0.027636541057743654,4,7,11,increase,0.050631830945484554,False,no_clear_change
region_VH,VH,1,peak_depolarization_mV,CONTROL_to_MFA_BA,CONTROL,MFA_BA,6.606179999999998,3.1217491428571456,5.208860632575905,8.003499367424093,2.2853087002775827,3.9581895854367084,-3.484430857142853,0.000550652793760658,4,7,11,decrease,0.0029698128202822003,True,decrease
