condition,sweep,feature,family,n_cells_DH,n_cells_VH,small_stratum,dh_median,vh_median,dh_mean,vh_mean,dh_minus_vh_median,dh_minus_vh_ci95_low,dh_minus_vh_ci95_high
CONTROL,1,peak_depolarization_mV,primary_continuous,7,4,True,7.602527999999992,6.737974000000005,7.441753714285715,6.60618,0.8645539999999876,-0.9210221499999992,2.093770000000003
CONTROL,2,peak_depolarization_mV,primary_continuous,7,4,True,11.071756000000015,9.630223999999991,10.988730857142858,10.006417999999995,1.4415320000000236,-0.9675112499999821,3.0641999999999996
CONTROL,3,peak_depolarization_mV,primary_continuous,7,4,True,14.328639999999993,13.149939999999997,14.154602857142857,13.231436999999998,1.1786999999999956,-1.8948140000000073,3.3161560000000208
CONTROL,4,peak_depolarization_mV,primary_continuous,7,4,True,17.229036,15.965018,17.056656571428572,16.388076000000005,1.264018,-1.6544619000000105,3.3100080000000034
CONTROL,5,peak_depolarization_mV,primary_continuous,7,4,True,20.03787599999999,18.551399999999997,20.08041028571429,18.852363000000004,1.4864759999999926,-1.1102808999999993,4.548540000000024
CONTROL,6,peak_depolarization_mV,primary_continuous,7,4,True,22.838152000000015,21.276135999999994,22.82742371428571,21.739736,1.5620160000000212,-1.3378075999999988,4.5169356000000125
MFA,1,peak_depolarization_mV,primary_continuous,6,7,False,8.686547000000008,6.004200000000004,8.961652333333332,6.452204114285718,2.6823470000000036,0.9069799999999972,4.751043199999991
MFA,2,peak_depolarization_mV,primary_continuous,6,7,False,14.346603999999996,9.076653600000007,13.958202666666663,10.148324800000003,5.269950399999988,1.3951816399999948,7.391999999999975
MFA,3,peak_depolarization_mV,primary_continuous,6,7,False,19.28610600000001,12.063049599999978,18.537618000000013,13.427260799999996,7.223056400000033,0.5719619500000088,10.209273650000014
MFA,4,peak_depolarization_mV,primary_continuous,6,7,False,23.038619999999998,14.787337599999994,22.375819333333336,16.285800800000004,8.251282400000004,2.0966538599999973,11.804443549999982
MFA,5,peak_depolarization_mV,primary_continuous,6,7,False,26.758244,17.521851999999996,26.952205333333335,19.084641485714286,9.236392000000006,2.608820849999999,15.195623600000005
MFA,6,peak_depolarization_mV,primary_continuous,6,7,False,30.47402200000001,20.51177600000001,29.993969333333336,21.914950171428575,9.962246,3.900059399999994,15.102166000000004
MFA_BA,1,peak_depolarization_mV,primary_continuous,6,7,False,6.17239,2.7364120000000014,6.388230000000003,3.1217491428571456,3.4359779999999986,0.9642710000000038,6.7998980000000095
MFA_BA,2,peak_depolarization_mV,primary_continuous,6,7,False,9.98125000000001,4.553684000000011,10.031168666666671,4.891351999999998,5.427565999999999,1.3778659999999903,9.96014495000001
MFA_BA,3,peak_depolarization_mV,primary_continuous,6,7,False,13.748422000000001,6.350347999999997,13.477359333333332,6.999037371428571,7.398074000000005,1.5251572000000082,12.978546400000006
MFA_BA,4,peak_depolarization_mV,primary_continuous,6,7,False,17.98996,7.797148000000011,17.157439333333333,9.113520228571431,10.19281199999999,1.8325719999999919,15.210548050000009
MFA_BA,5,peak_depolarization_mV,primary_continuous,6,7,False,21.918056,9.75788319999998,20.636067333333333,11.4354336,12.16017280000002,1.712171999999999,17.834624000000005
MFA_BA,6,peak_depolarization_mV,primary_continuous,6,7,False,25.887762000000002,12.014086399999997,23.869239333333336,13.792320914285714,13.873675600000006,1.019319999999997,18.01885826000001
CONTROL,1,plateau_level_mV,conditional_continuous,7,4,True,-57.644036,-49.748044,-57.050286400000005,-49.20767866666667,-7.895992,-12.536036899999983,-3.5507760000000133
CONTROL,2,plateau_level_mV,conditional_continuous,7,4,True,-52.792364000000006,-45.801512,-52.96433733333333,-46.381897,-6.990852000000004,-11.747832550000004,-2.236138000000004
CONTROL,3,plateau_level_mV,conditional_continuous,7,4,True,-51.98118,-42.026004,-50.327070400000004,-41.99125466666666,-9.955176000000002,-13.169316000000002,-1.6284200000000055
CONTROL,4,plateau_level_mV,conditional_continuous,7,4,True,-45.148923999999994,-39.43859599999999,-46.8667464,-39.83428599999999,-5.710328000000004,-15.618776000000004,-0.9608160000000154
CONTROL,5,plateau_level_mV,conditional_continuous,7,4,True,-47.23998,-36.533994,-45.58800480000001,-36.891232,-10.705986000000003,-17.476812000000024,-0.9769079500000001
CONTROL,6,plateau_level_mV,conditional_continuous,7,4,True,-42.316285999999984,-33.885135999999996,-44.151915999999986,-34.279021,-8.431149999999988,-19.001155799999996,-3.498423999999993
MFA,1,plateau_level_mV,conditional_continuous,6,7,False,-48.994386,-53.09692199999999,-48.994386,-51.9991564,4.1025359999999935,-5.287856000000005,11.058409380000002
MFA,2,plateau_level_mV,conditional_continuous,6,7,False,-41.453004,-49.53607000000001,-43.73266666666666,-48.317924000000005,8.08306600000001,-4.214847999999982,12.471851450000013
MFA,3,plateau_level_mV,conditional_continuous,6,7,False,-37.349374,-46.35839600000001,-37.349374,-45.3211844,9.009022000000016,2.902764000000005,13.932053199999999
MFA,4,plateau_level_mV,conditional_continuous,6,7,False,-34.381468,-43.472784,-36.334151999999996,-42.62460706666667,9.091315999999999,-3.0869359999999944,13.573215800000009
