group,sweep,feature,n,mean,median,std,min,q1,q3,max,iqr,ci95_low,ci95_high,acceptable_low_q1,acceptable_high_q3,acceptable_low_ci95,acceptable_high_ci95
pooled,5,rise_tau_s,9,0.2561,0.229,0.0721,0.19,0.192,0.326,0.366,0.134,0.2007,0.3115,0.192,0.326,0.2007,0.3115
T,5,rise_tau_s,5,0.1988,0.192,0.0169,0.19,0.19,0.193,0.229,0.003,0.1778,0.2198,0.19,0.193,0.1778,0.2198
VH,5,rise_tau_s,4,0.3278,0.3305,0.0338,0.284,0.3155,0.3428,0.366,0.0273,0.2739,0.3816,0.3155,0.3428,0.2739,0.3816
pooled,5,plateau_slope_mV_per_s,9,-0.0116,-0.0147,0.0464,-0.0909,-0.0289,0.0067,0.0607,0.0356,-0.0473,0.0241,-0.0289,0.0067,-0.0473,0.0241
T,5,plateau_slope_mV_per_s,5,-0.0052,-0.0147,0.0593,-0.0909,-0.0212,0.0401,0.0607,0.0613,-0.0789,0.0685,-0.0212,0.0401,-0.0789,0.0685
VH,5,plateau_slope_mV_per_s,4,-0.0196,-0.0137,0.0299,-0.0577,-0.0361,0.0028,0.0067,0.0389,-0.0671,0.0279,-0.0361,0.0028,-0.0671,0.0279
pooled,5,decay_slope_mV_per_s,9,21.6334,18.2032,7.6401,13.1369,17.3328,25.9602,36.0839,8.6273,15.7607,27.5061,17.3328,25.9602,15.7607,27.5061
T,5,decay_slope_mV_per_s,5,26.5318,25.9602,6.6378,17.6235,24.8657,28.1258,36.0839,3.2601,18.2899,34.7738,24.8657,28.1258,18.2899,34.7738
VH,5,decay_slope_mV_per_s,4,15.5104,15.3507,2.6327,13.1369,13.3107,17.5504,18.2032,4.2398,11.3211,19.6996,13.3107,17.5504,11.3211,19.6996
pooled,5,decay_tau_s,9,0.3161,0.3,0.0861,0.169,0.287,0.338,0.45,0.051,0.2499,0.3823,0.287,0.338,0.2499,0.3823
T,5,decay_tau_s,5,0.26,0.287,0.0539,0.169,0.253,0.291,0.3,0.038,0.1931,0.3269,0.253,0.291,0.1931,0.3269
VH,5,decay_tau_s,4,0.3863,0.385,0.0639,0.325,0.3347,0.4365,0.45,0.1018,0.2846,0.4879,0.3347,0.4365,0.2846,0.4879
pooled,5,undershoot_magnitude_mV,9,2.4235,2.5831,0.4836,1.7093,2.0948,2.7637,3.0298,0.6689,2.0517,2.7952,2.0948,2.7637,2.0517,2.7952
T,5,undershoot_magnitude_mV,5,2.637,2.7637,0.4914,1.7969,2.6587,2.9358,3.0298,0.2771,2.0269,3.2471,2.6587,2.9358,2.0269,3.2471
VH,5,undershoot_magnitude_mV,4,2.1566,2.1669,0.3617,1.7093,1.9984,2.325,2.5831,0.3266,1.5809,2.7322,1.9984,2.325,1.5809,2.7322
pooled,5,return_slope_mV_per_s,9,0.0674,0.0689,0.0134,0.0498,0.0537,0.0789,0.0849,0.0252,0.0571,0.0777,0.0537,0.0789,0.0571,0.0777
T,5,return_slope_mV_per_s,5,0.0659,0.0657,0.0138,0.0507,0.0537,0.0789,0.0806,0.0252,0.0488,0.0831,0.0537,0.0789,0.0488,0.0831
VH,5,return_slope_mV_per_s,4,0.0692,0.0711,0.0146,0.0498,0.0641,0.0762,0.0849,0.0121,0.046,0.0924,0.0641,0.0762,0.046,0.0924
pooled,6,peak_depolarization_mV,9,22.4977,22.5427,2.5454,18.197,20.6342,23.7889,26.1658,3.1548,20.5412,24.4543,20.6342,23.7889,20.5412,24.4543
T,6,peak_depolarization_mV,5,23.1041,22.8382,3.2009,18.197,22.5427,25.777,26.1658,3.2343,19.1297,27.0786,22.5427,25.777,19.1297,27.0786
VH,6,peak_depolarization_mV,4,21.7397,21.2761,1.4958,20.6177,20.63,22.3858,23.7889,1.7558,19.3596,24.1199,20.63,22.3858,19.3596,24.1199
pooled,6,rise_slope_mV_per_s,9,30.935,33.4915,8.6768,18.3687,25.5065,36.5558,43.0814,11.0493,24.2655,37.6046,25.5065,36.5558,24.2655,37.6046
T,6,rise_slope_mV_per_s,5,37.5202,36.5558,4.2837,33.4915,33.6898,40.7824,43.0814,7.0926,32.2012,42.8391,33.6898,40.7824,32.2012,42.8391
VH,6,rise_slope_mV_per_s,4,22.7036,23.2023,3.699,18.3687,20.2657,25.6402,26.0413,5.3745,16.8177,28.5896,20.2657,25.6402,16.8177,28.5896
pooled,6,rise_tau_s,9,0.2442,0.225,0.0681,0.177,0.185,0.305,0.352,0.12,0.1919,0.2966,0.185,0.305,0.1919,0.2966
T,6,rise_tau_s,5,0.19,0.185,0.02,0.177,0.177,0.186,0.225,0.009,0.1651,0.2149,0.177,0.186,0.1651,0.2149
VH,6,rise_tau_s,4,0.312,0.3055,0.0284,0.285,0.3,0.3175,0.352,0.0175,0.2669,0.3571,0.3,0.3175,0.2669,0.3571
